Order_ID,Order_Date,Order_Year,Order_Month,Order_Day,Order_Month_Name,Order_Day_Name,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Amount,Quantity_Level,Payment_Method,Order_Status
O0051,2026-01-01,2026,1,1,January,Thursday,C008,Sara Ahmed,Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,899,4,3596,Medium,Net Banking,Delivered
O0091,2026-01-01,2026,1,1,January,Thursday,C002,Zoya Khan,Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Low,Credit Card,Delivered
O0022,2026-01-02,2026,1,2,January,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,899,4,3596,Medium,Net Banking,Delivered
O0106,2026-01-02,2026,1,2,January,Friday,C001,Aarav Sharma,Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,1,3499,Low,Net Banking,Delivered
O0076,2026-01-03,2026,1,3,January,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,1,999,Low,Debit Card,Delivered
O0041,2026-01-04,2026,1,4,January,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,High,Cash on Delivery,Delivered
O0108,2026-01-04,2026,1,4,January,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Low,Net Banking,Delivered
O0018,2026-01-05,2026,1,5,January,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Medium,Net Banking,Cancelled
O0104,2026-01-05,2026,1,5,January,Monday,C011,Vivaan Kapoor,Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Medium,Debit Card,Shipped
O0110,2026-01-05,2026,1,5,January,Monday,C007,Aditya Verma,Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Low,UPI,Delivered
O0028,2026-01-07,2026,1,7,January,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,Medium,UPI,Delivered
O0056,2026-01-08,2026,1,8,January,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P018,Football,Sports,SportZone,799,3,2397,Medium,Debit Card,Delivered
O0021,2026-01-09,2026,1,9,January,Friday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,1,2499,Low,Debit Card,Cancelled
O0046,2026-01-09,2026,1,9,January,Friday,C019,Yusuf Dar,Srinagar,North,New,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Low,Cash on Delivery,Delivered
O0043,2026-01-10,2026,1,10,January,Saturday,C003,Rohan Mehta,Mumbai,West,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,4,2796,Medium,Net Banking,Delivered
O0027,2026-01-11,2026,1,11,January,Sunday,C002,Zoya Khan,Delhi,North,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Low,Cash on Delivery,Shipped
O0034,2026-01-13,2026,1,13,January,Tuesday,C010,Mehak Bhat,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,High,Credit Card,Delivered
O0045,2026-01-14,2026,1,14,January,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P017,Yoga Mat,Sports,FitLife,899,1,899,Low,Debit Card,Cancelled
O0029,2026-01-15,2026,1,15,January,Thursday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Low,Cash on Delivery,Cancelled
O0112,2026-01-15,2026,1,15,January,Thursday,C012,Aisha Mir,Delhi,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,4,6396,Medium,UPI,Delivered
O0079,2026-01-16,2026,1,16,January,Friday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,High,Debit Card,Delivered
O0094,2026-01-17,2026,1,17,January,Saturday,C011,Vivaan Kapoor,Jaipur,North,New,P002,Mechanical Keyboard,Electronics,KeyPro,2499,4,9996,Medium,Net Banking,Cancelled
O0099,2026-01-17,2026,1,17,January,Saturday,C010,Mehak Bhat,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,Low,UPI,Shipped
O0081,2026-01-19,2026,1,19,January,Monday,C022,Alina Shah,Pune,West,New,P018,Football,Sports,SportZone,799,2,1598,Low,Credit Card,Delivered
O0102,2026-01-20,2026,1,20,January,Tuesday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Medium,Credit Card,Shipped
O0071,2026-01-21,2026,1,21,January,Wednesday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,1,599,Low,UPI,Delivered
O0120,2026-01-21,2026,1,21,January,Wednesday,C013,Rahul Das,Kolkata,East,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Low,Cash on Delivery,Cancelled
O0025,2026-01-22,2026,1,22,January,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P008,Sneakers,Clothing,StepUp,2999,2,5998,Low,Cash on Delivery,Cancelled
O0105,2026-01-22,2026,1,22,January,Thursday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,4,2396,Medium,UPI,Delivered
O0115,2026-01-23,2026,1,23,January,Friday,C014,Sana Malik,Mumbai,West,New,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Low,Credit Card,Delivered
O0002,2026-01-25,2026,1,25,January,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Low,Debit Card,Delivered
O0032,2026-01-25,2026,1,25,January,Sunday,C017,Dev Patel,Ahmedabad,West,Premium,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Low,Credit Card,Shipped
O0038,2026-01-25,2026,1,25,January,Sunday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Low,Credit Card,Delivered
O0011,2026-01-26,2026,1,26,January,Monday,C022,Alina Shah,Pune,West,New,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Low,Net Banking,Cancelled
O0107,2026-01-26,2026,1,26,January,Monday,C021,Aman Kumar,Delhi,North,Regular,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Low,Cash on Delivery,Delivered
O0069,2026-01-27,2026,1,27,January,Tuesday,C028,Inaya Khan,Mumbai,West,Regular,P004,Smart Watch,Electronics,FitTech,3299,4,13196,Medium,Debit Card,Delivered
O0084,2026-01-27,2026,1,27,January,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Medium,Credit Card,Delivered
O0026,2026-01-28,2026,1,28,January,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Low,UPI,Delivered
O0086,2026-01-28,2026,1,28,January,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,5,7995,High,Debit Card,Delivered
O0042,2026-01-29,2026,1,29,January,Thursday,C012,Aisha Mir,Delhi,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,High,Net Banking,Delivered
O0054,2026-01-30,2026,1,30,January,Friday,C019,Yusuf Dar,Srinagar,North,New,P007,Jacket,Clothing,NorthStyle,2499,3,7497,Medium,Credit Card,Cancelled
O0064,2026-01-30,2026,1,30,January,Friday,C007,Aditya Verma,Pune,West,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Medium,Credit Card,Cancelled
O0082,2026-01-30,2026,1,30,January,Friday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Medium,Cash on Delivery,Delivered
